CODE_UNIT,DATE,AMOUNT,HM_CALC,CONSUMPTION,HM_HRS,PRODUCTION_OB,CONSUMPTION_CALC,CONSUMPTION_HRS
EX41,2022-02-28,2291.0,19.0,101.45,2.0,0.0,120.57894736842105,1145.5
EX41,2022-03-01,1891.0,22.0,69.78632478632478,0.0,0.0,85.95454545454545,inf
EX41,2022-03-02,1706.0,16.0,164.88181818181818,0.0,0.0,106.625,inf
EX41,2022-03-03,1988.0,22.0,72.65,0.0,0.0,90.36363636363636,inf
EX41,2022-03-04,1647.0,15.0,123.45,0.0,0.0,109.8,inf
EX41,2022-03-05,303.0,12.0,162.44444444444446,0.0,0.0,25.25,inf
EX41,2022-03-06,1960.0,11.0,90.9090909090909,0.0,0.0,178.1818181818182,inf
EX41,2022-03-07,1000.0,18.0,85.5,20.0,9944.0,55.55555555555556,50.0
EX41,2022-03-08,1486.0,7.0,170.0,19.0,9944.0,212.28571428571428,78.21052631578948
EX41,2022-03-09,2294.0,22.0,94.72727272727275,22.0,11308.0,104.27272727272727,104.27272727272727
EX41,2022-03-10,1526.0,16.0,118.05,19.0,9490.0,95.375,80.3157894736842
EX41,2022-03-11,2169.0,21.0,105.69090909090909,21.0,11163.0,103.28571428571429,103.28571428571429
EX41,2022-03-12,1632.0,16.0,120.52727272727273,23.0,10458.0,102.0,70.95652173913044
EX41,2022-03-13,1467.0,14.0,162.95,22.0,10824.0,104.78571428571429,66.68181818181819
EX41,2022-03-14,2157.0,21.0,95.18181818181819,18.0,7781.0,102.71428571428571,119.83333333333333
EX41,2022-03-15,1689.0,17.0,72.7357142857143,22.0,10671.0,99.3529411764706,76.77272727272727
EX41,2022-03-16,1446.0,15.0,141.8611111111111,22.0,10868.0,96.4,65.72727272727273
EX41,2022-03-17,2359.0,22.0,91.95454545454547,19.0,10032.0,107.22727272727273,124.15789473684211
EX41,2022-03-18,1442.0,14.0,142.66666666666666,19.0,9812.0,103.0,75.89473684210526
EX41,2022-03-19,1070.0,27.0,119.6590909090909,16.0,5553.0,39.629629629629626,66.875
EX41,2022-03-20,2337.0,37.0,12.13513513513514,13.0,5280.0,63.16216216216216,179.76923076923077
EX41,2022-03-21,449.0,12.0,159.75,22.0,10956.0,37.416666666666664,20.40909090909091
EX41,2022-03-22,1959.0,9.0,116.1111111111111,17.0,8536.0,217.66666666666666,115.23529411764706
EX41,2022-03-23,1598.0,16.0,123.48333333333335,20.0,10076.0,99.875,79.9
EX41,2022-03-24,2435.0,22.0,99.79166666666666,21.0,10340.0,110.68181818181819,115.95238095238095
EX41,2022-03-25,2028.0,20.0,109.36868686868684,20.0,10120.0,101.4,101.4
EX41,2022-03-26,2220.0,20.0,104.44444444444446,18.0,8624.0,111.0,123.33333333333333
EX41,2022-03-27,1490.0,15.0,120.92857142857144,22.0,10076.0,99.33333333333333,67.72727272727273
EX41,2022-03-28,2225.0,21.0,104.0909090909091,16.0,9108.0,105.95238095238095,139.0625
EX41,2022-03-29,2315.0,21.0,117.38636363636365,22.0,11044.0,110.23809523809524,105.22727272727273
EX41,2022-03-30,2318.0,18.0,132.72727272727275,20.0,9006.0,128.77777777777777,115.9
EX41,2022-03-31,2047.0,20.0,85.72916666666666,19.0,9666.0,102.35,107.73684210526316
EX41,2022-04-01,777.0,-11.0,-70.63636363636364,17.0,7788.0,-70.63636363636364,45.705882352941174
EX41,2022-04-02,1825.0,19.0,118.9715909090909,14.0,5852.0,96.05263157894737,130.35714285714286
EX41,2022-04-03,2097.0,22.0,97.24358974358972,17.0,7382.0,95.31818181818181,123.3529411764706
EX41,2022-04-04,1660.0,18.0,108.16883116883115,18.0,8031.0,92.22222222222223,92.22222222222223
EX41,2022-04-05,2123.0,21.0,100.04545454545455,20.0,9343.0,101.0952380952381,106.15
EX41,2022-04-06,1919.0,19.0,101.60795454545455,17.0,9145.0,101.0,112.88235294117646
EX41,2022-04-07,2072.0,20.0,104.05,16.0,6732.0,103.6,129.5
EX41,2022-04-08,1766.0,17.0,75.72857142857143,16.0,6468.0,103.88235294117646,110.375
EX41,2022-04-09,1708.0,16.0,163.92727272727274,22.0,11924.0,106.75,77.63636363636364
EX41,2022-04-10,2067.0,18.0,111.6875,15.0,7656.0,114.83333333333333,137.8
EX41,2022-04-11,1987.0,20.0,105.8,22.5,9944.0,99.35,88.31111111111112
EX41,2022-04-12,2200.0,21.0,112.47272727272725,20.0,9240.0,104.76190476190476,110.0
EX41,2022-04-13,2417.0,23.0,92.2159090909091,9.0,4664.0,105.08695652173913,268.55555555555554
EX41,2022-04-14,2137.0,20.0,96.010101010101,6.0,2772.0,106.85,356.1666666666667
EX41,2022-04-15,1693.0,16.0,126.56666666666663,8.0,3749.0,105.8125,211.625
EX41,2022-04-16,1474.0,14.0,108.625,14.0,6903.0,105.28571428571429,105.28571428571429
EX41,2022-04-17,0.0,11.0,73.0909090909091,8.0,4657.0,0.0,0.0
EX41,2022-04-18,0.0,0.0,,11.0,3960.0,,0.0
EX41,2022-04-19,0.0,0.0,,9.0,3564.0,,0.0
EX41,2022-04-20,0.0,0.0,,0.0,0.0,,
EX41,2022-04-21,0.0,0.0,,1.0,125.0,,0.0
EX41,2022-04-22,0.0,0.0,,17.0,8177.0,,0.0
EX41,2022-04-23,804.0,17.0,48.41176470588236,20.0,9548.0,47.294117647058826,40.2
EX41,2022-04-24,0.0,0.0,,,,,
EX41,2022-04-25,0.0,0.0,,,,,
EX41,2022-04-26,0.0,0.0,,,,,
EX41,2022-04-27,1687.0,10.0,94.7,,,168.7,
EX41,2022-04-28,2039.0,22.0,99.04545454545453,,,92.68181818181819,
EX41,2022-04-29,2038.0,21.0,95.4590909090909,,,97.04761904761905,
EX41,2022-04-30,1631.0,18.0,104.58441558441558,,,90.61111111111111,
EX41,2022-05-01,1514.0,15.0,120.82954545454545,,,100.93333333333334,
EX41,2022-05-02,0.0,8.0,101.875,,,0.0,
EX41,2022-05-03,1821.0,11.0,92.72727272727273,,,165.54545454545453,
EX41,2022-05-04,1667.0,17.0,113.35,,,98.05882352941177,
EX41,2022-05-05,2121.0,22.0,96.72727272727272,,,96.4090909090909,
EX41,2022-05-06,1612.0,16.0,128.9090909090909,,,100.75,
EX41,2022-05-07,1806.0,20.0,83.72727272727272,,,90.3,
EX41,2022-05-08,1338.0,13.0,98.4125,,,102.92307692307692,
EX41,2022-05-09,716.0,8.0,89.5,,,89.5,
EX41,2022-05-10,2204.0,21.0,106.97272727272727,,,104.95238095238095,
EX41,2022-05-11,1029.0,15.0,65.25,,,68.6,
EX41,2022-05-12,0.0,0.0,,,,,
EX41,2022-05-13,0.0,0.0,,,,,
EX41,2022-05-14,435.0,14.0,105.6428571428571,,,31.071428571428573,
EX41,2022-05-15,2284.0,8.0,125.5,,,285.5,
EX41,2022-05-16,1617.0,24.0,50.96875,,,67.375,
EX41,2022-05-17,1654.0,16.0,150.46666666666664,,,103.375,
EX41,2022-05-18,2212.0,22.0,100.18181818181819,,,100.54545454545455,
EX41,2022-05-19,2123.0,22.0,76.36363636363637,,,96.5,
EX41,2022-05-20,991.0,12.0,106.95714285714286,,,82.58333333333333,
EX41,2022-05-21,1751.0,17.0,118.5347222222222,,,103.0,
EX41,2022-05-22,1892.0,19.0,102.44318181818181,,,99.57894736842105,
EX41,2022-05-23,1714.0,17.0,106.51428571428569,,,100.82352941176471,
EX41,2022-05-24,2074.0,21.0,105.96363636363635,,,98.76190476190476,
EX41,2022-05-25,1185.0,21.0,84.28636363636363,,,56.42857142857143,
EX41,2022-05-26,1990.0,9.0,114.2222222222222,,,221.11111111111111,
EX41,2022-05-27,2126.0,22.0,105.6,,,96.63636363636364,
EX41,2022-05-28,1945.0,20.0,94.29166666666667,,,97.25,
EX41,2022-05-29,1820.0,19.0,107.69318181818181,,,95.78947368421052,
EX41,2022-05-30,2047.0,20.0,101.1111111111111,,,102.35,
EX41,2022-05-31,2293.0,21.0,111.55454545454546,,,109.19047619047619,
EX41,2022-06-01,1899.0,19.0,80.30357142857143,,,99.94736842105263,
EX41,2022-06-02,1605.0,17.0,120.1527777777778,,,94.41176470588235,
EX41,2022-06-03,2077.0,20.0,104.03030303030302,,,103.85,
EX41,2022-06-04,2074.0,21.0,90.34545454545454,2.0,0.0,98.76190476190476,1037.0
EX41,2022-06-05,1026.0,11.0,505.5,22.0,9912.0,93.27272727272727,46.63636363636363
EX41,2022-06-06,1461.0,15.0,118.19999999999999,17.0,8052.0,97.4,85.94117647058823
EX41,2022-06-07,2029.0,19.0,111.8388888888889,20.0,8932.0,106.78947368421052,101.45
EX41,2022-06-08,2048.0,21.0,99.58636363636364,17.0,8272.0,97.52380952380952,120.47058823529412
EX41,2022-06-09,1739.0,16.0,138.3090909090909,17.0,8228.0,108.6875,102.29411764705883
EX41,2022-06-10,1938.0,19.0,100.88068181818181,10.0,4557.0,102.0,193.8
EX41,2022-06-11,1965.0,19.0,94.93333333333334,21.0,7744.0,103.42105263157895,93.57142857142857
EX41,2022-06-12,1528.0,16.0,124.28333333333336,10.0,4589.0,95.5,152.8
EX41,2022-06-13,1864.0,19.0,100.98863636363637,12.0,4423.0,98.10526315789474,155.33333333333334
EX41,2022-06-14,2077.0,22.0,98.33333333333334,11.0,4620.0,94.4090909090909,188.8181818181818
EX41,2022-06-15,2163.0,21.0,103.61363636363635,22.0,9196.0,103.0,98.31818181818181
EX41,2022-06-16,1857.0,19.0,100.23295454545455,3.0,440.0,97.73684210526316,619.0
EX41,2022-06-17,1534.0,18.0,87.7207792207792,0.0,0.0,85.22222222222223,inf
